relevance,query,document_title,document_id,page_nr,settings,num_times_retrieved,ranks
n,lifespan of bitumen felt for flat roofs,BS 8217 2005 Reinforced bitumen membranes for roofing.pdf,BS 8217 2005,9,"['dense', 'dense_QE', 'hybrid', 'hybrid_QE', 'sparse_QE']",5,"[3, 3, 3, 3, 3]"
n,lifespan of bitumen felt for flat roofs,BS 8217 2005 Reinforced bitumen membranes for roofing.pdf,BS 8217 2005,4,"['dense', 'dense_DE', 'hybrid', 'hybrid_DE', 'sparse']",5,"[2, 3, 2, 3, 2]"
y,lifespan of bitumen felt for flat roofs,BS 8217 2005 Reinforced bitumen membranes for roofing.pdf,BS 8217 2005,5,"['dense', 'dense_DE', 'dense_QE', 'hybrid', 'hybrid_DE', 'hybrid_QE', 'hybrid_QE_DE', 'sparse_QE', 'dense_QE_DE', 'sparse']",10,"[1, 1, 1, 1, 1, 1, 3, 1, 3, 1]"
n,lifespan of bitumen felt for flat roofs,BS 8217 2005 Reinforced bitumen membranes for roofing.pdf,BS 8217 2005,15,"['dense_QE', 'hybrid_QE', 'hybrid_QE_DE', 'sparse_QE', 'dense_QE_DE', 'sparse']",6,"[2, 2, 2, 2, 2, 3]"
n,lifespan of bitumen felt for flat roofs,BS 8000-4-1989.pdf,BS 8000-4-1989,24,['sparse_DE'],1,[3]
n,lifespan of bitumen felt for flat roofs,BS 6100-6-2008-Building and civil engineering-Vocabulary-Construction parts.pdf,BS 6100-6-2008-,56,"['dense_DE', 'sparse_DE_QE', 'hybrid_DE', 'hybrid_QE_DE', 'sparse_DE', 'dense_QE_DE']",6,"[2, 1, 2, 1, 1, 1]"
y,lifespan of bitumen felt for flat roofs,BS 8217-2005.pdf,BS 8217-2005,5,"['sparse_DE_QE', 'sparse_DE']",2,"[3, 2]"
n,lifespan of bitumen felt for flat roofs,BS 8233-2014--Code of Practice for noise in buildings.pdf,BS 8233-2014--,47,['sparse_DE_QE'],1,[2]
y,maximum emissions of VOC in houses,BS EN ISO 16000-10-2006--[Indoor air. Determination of the emission of volatile organic compounds from building products and furnishing. Emission test cell method].pdf,BS EN ISO 16000-10-2006--,27,"['sparse_DE_QE', 'sparse_DE']",2,"[3, 3]"
n,maximum emissions of VOC in houses,BS EN ISO 16000-11-2006--[Indoor air. Determination of the emission of volatile organic compounds].pdf,BS EN ISO 16000-11-2006--,20,"['dense', 'dense_DE', 'sparse_DE_QE', 'hybrid', 'hybrid_DE', 'hybrid_QE_DE', 'sparse_QE', 'sparse_DE', 'dense_QE_DE', 'sparse']",10,"[1, 2, 2, 1, 2, 2, 1, 2, 2, 1]"
y,maximum emissions of VOC in houses,BS EN ISO 16000-5-2007--[Indoor air. Sampling strategy for volatile organic compounds (VOCs)].pdf,BS EN ISO 16000-5-2007--,13,"['dense', 'hybrid']",2,"[3, 3]"
y,maximum emissions of VOC in houses,BS 6150-2019_NR.pdf,BS 6150-2019,41,"['dense_DE', 'hybrid_DE', 'hybrid_QE_DE', 'dense_QE_DE']",4,"[3, 3, 3, 3]"
n,maximum emissions of VOC in houses,PAS 2050-2011--[2021-04-19--12-57-39 PM].pdf,PAS 2050-2011--,29,"['dense', 'hybrid', 'sparse']",3,"[2, 2, 3]"
n,maximum emissions of VOC in houses,PAS 2050-2011--[2021-04-19--12-57-39 PM].pdf,PAS 2050-2011--,21,"['dense_QE', 'hybrid_QE', 'sparse_QE']",3,"[1, 1, 2]"
n,maximum emissions of VOC in houses,PAS 2050-2011--[2021-04-19--12-57-39 PM].pdf,PAS 2050-2011--,27,"['dense_QE', 'hybrid_QE', 'sparse_QE']",3,"[2, 2, 3]"
n,maximum emissions of VOC in houses,BS EN ISO 16000-10-2006--[Indoor air. Determination of the emission of volatile organic compounds from building products and furnishing. Emission test cell method].pdf,BS EN ISO 16000-10-2006--,26,"['dense_DE', 'sparse_DE_QE', 'hybrid_DE', 'hybrid_QE_DE', 'sparse_DE', 'dense_QE_DE', 'sparse']",7,"[1, 1, 1, 1, 1, 1, 2]"
n,maximum emissions of VOC in houses,PAS 2050-2011--[2021-04-19--12-57-39 PM].pdf,PAS 2050-2011--,24,"['dense_QE', 'hybrid_QE']",2,"[3, 3]"
y,"mineral fibre mats, installation requirements for roofs",BS 8217-2005.pdf,BS 8217-2005,15,['sparse_DE_QE'],1,[1]
n,"mineral fibre mats, installation requirements for roofs",BS 476-22 (1987).pdf,BS 476-22,2,['sparse_DE_QE'],1,[2]
n,"mineral fibre mats, installation requirements for roofs",BS 8313 (1997).pdf,BS 8313,45,"['dense', 'dense_DE', 'hybrid', 'hybrid_DE', 'sparse_DE', 'sparse']",6,"[1, 1, 1, 1, 3, 1]"
n,"mineral fibre mats, installation requirements for roofs",BS 5427-2016.pdf,BS 5427-2016,8,['sparse_DE'],1,[1]
n,"mineral fibre mats, installation requirements for roofs",BS 5250 (2011) + A1 2016.pdf,BS 5250,87,"['hybrid_QE_DE', 'dense_QE_DE']",2,"[1, 1]"
n,"mineral fibre mats, installation requirements for roofs",BS 5427-2016.pdf,BS 5427-2016,11,"['dense', 'dense_QE', 'hybrid', 'hybrid_QE', 'sparse_QE', 'sparse']",6,"[3, 1, 3, 1, 1, 3]"
n,"mineral fibre mats, installation requirements for roofs",BS 5427 2016 Profiled sheet roofing code of practice.pdf,BS 5427 2016,29,['sparse_DE_QE'],1,[3]
n,"mineral fibre mats, installation requirements for roofs",BS EN 1364-1-2015--Walls.pdf,BS EN 1364-1-2015--,45,"['dense_QE', 'hybrid_QE', 'sparse_QE']",3,"[2, 2, 2]"
n,"mineral fibre mats, installation requirements for roofs",BS 5534-2014+A2-2018--[2021-08-31--02-22-13 PM].pdf,BS 5534-2014+A2-2018--,38,"['dense_DE', 'hybrid_DE']",2,"[3, 3]"
n,"mineral fibre mats, installation requirements for roofs",BS 5534-2014+A2-2018--[2021-08-31--02-22-13 PM].pdf,BS 5534-2014+A2-2018--,123,"['dense_DE', 'hybrid_DE']",2,"[2, 2]"
n,"mineral fibre mats, installation requirements for roofs",BS 6203-2003.pdf,BS 6203-2003,42,"['hybrid_QE_DE', 'dense_QE_DE']",2,"[2, 2]"
n,"mineral fibre mats, installation requirements for roofs",BS 9999 (2017).pdf,BS 9999,201,"['hybrid_QE_DE', 'dense_QE_DE']",2,"[3, 3]"
n,"mineral fibre mats, installation requirements for roofs",BS 476-23 (1987).pdf,BS 476-23,6,"['dense_QE', 'hybrid_QE', 'sparse_QE']",3,"[3, 3, 3]"
n,"mineral fibre mats, installation requirements for roofs",BS EN 17210-2021_NR.pdf,BS EN 17210-2021,124,"['dense', 'hybrid', 'sparse']",3,"[2, 2, 2]"
y,"mineral fibre mats, installation requirements for roofs",PD 6680-2002.pdf,PD 6680-2002,21,['sparse_DE'],1,[2]
y,minimum fire resistance of floors in flats,BS 9991 (2015).pdf,BS 9991,76,"['dense_QE', 'hybrid_QE', 'sparse_QE']",3,"[2, 2, 2]"
y,minimum fire resistance of floors in flats,BS 476-21 (1987).pdf,BS 476-21,9,"['hybrid_QE_DE', 'dense_QE_DE']",2,"[2, 2]"
y,minimum fire resistance of floors in flats,Approved Document B - 2010.pdf,,67,"['dense_DE', 'sparse_DE_QE', 'hybrid_DE', 'sparse_DE']",4,"[3, 3, 3, 3]"
y,minimum fire resistance of floors in flats,Approved Document B - 2010.pdf,,68,"['dense', 'dense_DE', 'dense_QE', 'sparse_DE_QE', 'hybrid', 'hybrid_DE', 'hybrid_QE', 'hybrid_QE_DE', 'sparse_QE', 'sparse_DE', 'dense_QE_DE', 'sparse']",12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
n,minimum fire resistance of floors in flats,Approved Document B - 2010.pdf,,47,"['dense', 'hybrid', 'sparse']",3,"[3, 3, 3]"
y,minimum fire resistance of floors in flats,BS 6203-2003.pdf,BS 6203-2003,27,"['hybrid_QE_DE', 'dense_QE_DE']",2,"[3, 3]"
n,minimum fire resistance of floors in flats,BS 9991 (2015).pdf,BS 9991,137,"['dense_QE', 'hybrid_QE', 'sparse_QE']",3,"[3, 3, 3]"
y,minimum fire resistance of floors in flats,Approved Document B - 2010.pdf,,69,"['dense', 'dense_DE', 'sparse_DE_QE', 'hybrid', 'hybrid_DE', 'sparse_DE', 'sparse']",7,"[2, 2, 2, 2, 2, 2, 2]"
y,"party wall, sound insulation requirements",BS 8233-2014--Code of Practice for noise in buildings.pdf,BS 8233-2014--,41,"['dense_QE', 'sparse_DE_QE', 'hybrid_QE', 'hybrid_QE_DE', 'sparse_DE', 'dense_QE_DE']",6,"[3, 1, 3, 1, 2, 1]"
n,"party wall, sound insulation requirements",BS 8000-6-2013.pdf,BS 8000-6-2013,10,"['sparse_DE_QE', 'sparse_DE']",2,"[2, 1]"
n,"party wall, sound insulation requirements",BS 5534-2014+A2-2018--[2021-08-31--02-22-13 PM].pdf,BS 5534-2014+A2-2018--,62,"['hybrid_QE_DE', 'dense_QE_DE']",2,"[2, 2]"
n,"party wall, sound insulation requirements",BS EN ISO 12567-1-2010--[Windows and doors].pdf,BS EN ISO 12567-1-2010--,60,"['dense_DE', 'hybrid_DE']",2,"[2, 2]"
n,"party wall, sound insulation requirements",BS EN ISO 10140-2-2010--[Measurement of airborne sound insulation].pdf,BS EN ISO 10140-2-2010--,9,"['dense', 'dense_QE', 'hybrid', 'hybrid_QE', 'sparse_QE', 'sparse']",6,"[1, 1, 1, 1, 1, 1]"
n,"party wall, sound insulation requirements",BS 5534-2014+A2-2018--[2021-08-31--02-22-13 PM].pdf,BS 5534-2014+A2-2018--,105,"['hybrid_QE_DE', 'dense_QE_DE']",2,"[3, 3]"
n,"party wall, sound insulation requirements",BS EN ISO 10140-2-2010--[Measurement of airborne sound insulation].pdf,BS EN ISO 10140-2-2010--,6,"['dense', 'dense_DE', 'hybrid', 'hybrid_DE', 'sparse_QE', 'sparse_DE', 'sparse']",7,"[2, 1, 2, 1, 2, 3, 2]"
n,"party wall, sound insulation requirements",BS EN ISO 10140-2-2010--[Measurement of airborne sound insulation].pdf,BS EN ISO 10140-2-2010--,21,"['dense', 'dense_QE', 'hybrid', 'hybrid_QE', 'sparse_QE', 'sparse']",6,"[3, 2, 3, 2, 3, 3]"
y,"party wall, sound insulation requirements",BS 8233-2014--Code of Practice for noise in buildings.pdf,BS 8233-2014--,65,['sparse_DE_QE'],1,[3]
n,"party wall, sound insulation requirements",BS EN ISO 16283-1-2014+A1-2017--[2019-10-03--10-38-59 AM].pdf,BS EN ISO 16283-1-2014+A1-2017--,51,"['dense_DE', 'hybrid_DE']",2,"[3, 3]"
n,"PIR insulation, fire rating",BS EN 13823-2010+A1-2014--[2020-03-17--12-30-16 PM].pdf,BS EN 13823-2010+A1-2014--,8,"['dense_DE', 'hybrid_DE']",2,"[3, 3]"
n,"PIR insulation, fire rating",LPS1181part1-Requirements and tests for built up cladding and sandwich panel systems for use as the external envelope of building.pdf,,23,"['dense', 'dense_DE', 'hybrid', 'hybrid_DE', 'hybrid_QE_DE', 'dense_QE_DE', 'sparse']",7,"[2, 1, 2, 1, 1, 1, 2]"
n,"PIR insulation, fire rating",BS 8519 (2020).pdf,BS 8519,33,"['dense', 'hybrid', 'sparse']",3,"[1, 1, 1]"
n,"PIR insulation, fire rating",BS EN 12101-3 (2015).pdf,BS EN 12101-3,35,"['dense', 'hybrid', 'sparse']",3,"[3, 3, 3]"
n,"PIR insulation, fire rating",BS EN 13163-2012+A2-2016--[Factory made EPS insulation-Specification].pdf,BS EN 13163-2012+A2-2016--,27,"['dense_QE', 'hybrid_QE', 'sparse_QE']",3,"[1, 1, 1]"
y,"PIR insulation, fire rating",BS 8217 2005 Reinforced bitumen membranes for roofing.pdf,BS 8217 2005,14,"['dense_DE', 'sparse_DE_QE', 'hybrid_DE', 'sparse_DE']",4,"[2, 3, 2, 1]"
n,"PIR insulation, fire rating",BS EN 13501-1 (2018).pdf,BS EN 13501-1,17,"['dense_QE', 'hybrid_QE', 'hybrid_QE_DE', 'sparse_QE', 'dense_QE_DE']",5,"[2, 2, 2, 2, 2]"
n,"PIR insulation, fire rating",BS EN 1366-3-2009--Penetration seals.pdf,BS EN 1366-3-2009--,12,"['dense_QE', 'hybrid_QE', 'sparse_QE']",3,"[3, 3, 3]"
n,"PIR insulation, fire rating","BS ISO 20902-1-2018--[Fire test procedures for divisional elements that are typically used in oil, gas and petrochemical industries].pdf",BS ISO 20902-1-2018--,28,['sparse_DE_QE'],1,[2]
n,"PIR insulation, fire rating",BS 9991 (2015).pdf,BS 9991,114,"['hybrid_QE_DE', 'dense_QE_DE']",2,"[3, 3]"
n,"PIR insulation, fire rating",BS 5427 2016 Profiled sheet roofing code of practice.pdf,BS 5427 2016,29,['sparse_DE'],1,[2]
n,"PIR insulation, fire rating","BS ISO 20902-1-2018--[Fire test procedures for divisional elements that are typically used in oil, gas and petrochemical industries].pdf",BS ISO 20902-1-2018--,27,"['sparse_DE_QE', 'sparse_DE']",2,"[1, 3]"
y,"pitched roof, drainage requirements",BS 8000-3-2020_NR.pdf,BS 8000-3-2020,26,"['dense', 'dense_DE', 'hybrid', 'hybrid_DE', 'hybrid_QE_DE', 'sparse_QE', 'sparse_DE', 'dense_QE_DE', 'sparse']",9,"[1, 1, 1, 1, 1, 3, 1, 1, 1]"
y,"pitched roof, drainage requirements",BS 5534-2014+A2-2018--[2021-08-31--02-22-13 PM].pdf,BS 5534-2014+A2-2018--,88,"['sparse_DE_QE', 'hybrid_QE_DE', 'dense_QE_DE']",3,"[2, 3, 3]"
n,"pitched roof, drainage requirements",BS 8103-3 2009 Structural design timber roofs.pdf,BS 8103-3 2009,34,"['dense', 'hybrid', 'sparse']",3,"[3, 3, 3]"
n,"pitched roof, drainage requirements",BS EN 516-2006.pdf,BS EN 516-2006,7,"['dense', 'hybrid', 'sparse']",3,"[2, 2, 2]"
y,"pitched roof, drainage requirements","BS EN 1090-5-2017--[Technical requirements for  roof, ceiling, floor and wall applications].pdf",BS EN 1090-5-2017--,62,['sparse_DE_QE'],1,[3]
n,"pitched roof, drainage requirements",BS ISO 6707-1-2017-Tracked Changes-Buildings and civil engineering works-Vocabulary-General terms.pdf,BS ISO 6707-1-2017-,194,['sparse_DE'],1,[3]
y,"pitched roof, drainage requirements",BS 5427 2016 Profiled sheet roofing code of practice.pdf,BS 5427 2016,39,"['dense_QE', 'hybrid_QE', 'sparse_QE']",3,"[2, 2, 2]"
y,"pitched roof, drainage requirements",BS 5534-2014+A2-2018--[2021-08-31--02-22-13 PM].pdf,BS 5534-2014+A2-2018--,66,"['dense_QE', 'hybrid_QE']",2,"[3, 3]"
n,"pitched roof, drainage requirements",BS 5250 (2011) + A1 2016.pdf,BS 5250,81,['sparse_DE'],1,[2]
n,"pitched roof, drainage requirements",BS 5250 (2011) + A1 2016.pdf,BS 5250,72,"['dense_DE', 'hybrid_DE']",2,"[3, 3]"
n,"pitched roof, drainage requirements",BS 8103-3 2009 Structural design timber roofs.pdf,BS 8103-3 2009,33,"['dense_DE', 'hybrid_DE']",2,"[2, 2]"
n,"pitched roof, drainage requirements",BS 6229 (2018).pdf,BS 6229,17,"['dense_QE', 'sparse_DE_QE', 'hybrid_QE', 'hybrid_QE_DE', 'sparse_QE', 'dense_QE_DE']",6,"[1, 1, 1, 2, 1, 2]"
y,requirements for installing metal studs,BS 8212-1995 Dry lining and partitioning using gypsum plasterboard.pdf,BS 8212-1995,13,"['dense_QE', 'hybrid_QE', 'sparse_QE']",3,"[2, 2, 2]"
n,requirements for installing metal studs,BS 8233-2014--Code of Practice for noise in buildings.pdf,BS 8233-2014--,42,"['dense', 'dense_DE', 'dense_QE', 'hybrid', 'hybrid_DE', 'hybrid_QE', 'sparse_QE', 'sparse_DE', 'sparse']",9,"[1, 3, 1, 1, 3, 1, 1, 1, 1]"
n,requirements for installing metal studs,BS 8233-2014--Code of Practice for noise in buildings.pdf,BS 8233-2014--,66,"['sparse_DE_QE', 'hybrid_QE_DE', 'dense_QE_DE']",3,"[2, 3, 3]"
n,requirements for installing metal studs,BS EN ISO 13287-2019--[Personal protective equipment. Footwear. Test method for slip resistance].pdf,BS EN ISO 13287-2019--,8,"['dense', 'dense_DE', 'hybrid', 'hybrid_DE']",4,"[3, 2, 3, 2]"
n,requirements for installing metal studs,BS 8233-2014--Code of Practice for noise in buildings.pdf,BS 8233-2014--,64,"['dense_QE', 'sparse_DE_QE', 'hybrid_QE', 'hybrid_QE_DE', 'sparse_QE', 'sparse_DE', 'dense_QE_DE']",7,"[3, 1, 3, 2, 3, 3, 2]"
n,requirements for installing metal studs,BS EN 1995-1-1-2004+A2-2014.pdf,BS EN 1995-1-1-2004+A2-2014,108,['sparse_DE'],1,[2]
n,requirements for installing metal studs,BS 8233-2014--Code of Practice for noise in buildings.pdf,BS 8233-2014--,43,"['dense', 'hybrid', 'sparse']",3,"[2, 2, 2]"
n,requirements for installing metal studs,BS EN 1090-3-2019--[Technical requirements for aluminium structures].pdf,BS EN 1090-3-2019--,28,"['dense_DE', 'hybrid_DE', 'hybrid_QE_DE', 'dense_QE_DE', 'sparse']",5,"[1, 1, 1, 1, 3]"
n,requirements for installing metal studs,BS EN 1090-2-2018--[Execution of steel structures].pdf,BS EN 1090-2-2018--,38,['sparse_DE_QE'],1,[3]
y,rigid insulation for cavity walls,BS 8000-3-2020_NR.pdf,BS 8000-3-2020,30,"['dense', 'dense_DE', 'dense_QE', 'sparse_DE_QE', 'hybrid', 'hybrid_DE', 'hybrid_QE', 'hybrid_QE_DE', 'sparse_QE', 'sparse_DE', 'dense_QE_DE', 'sparse']",12,"[1, 3, 1, 1, 1, 3, 1, 2, 1, 3, 2, 1]"
y,rigid insulation for cavity walls,BS 5250 (2011) + A1 2016.pdf,BS 5250,59,"['dense', 'dense_DE', 'dense_QE', 'sparse_DE_QE', 'hybrid', 'hybrid_DE', 'hybrid_QE', 'hybrid_QE_DE', 'sparse_QE', 'sparse_DE', 'dense_QE_DE', 'sparse']",12,"[2, 1, 2, 2, 2, 1, 2, 3, 2, 2, 3, 2]"
y,rigid insulation for cavity walls,BS 5250 (2011) + A1 2016.pdf,BS 5250,57,"['dense_DE', 'hybrid_DE', 'sparse_DE']",3,"[2, 2, 1]"
y,rigid insulation for cavity walls,BS 8000-3-2020_NR.pdf,BS 8000-3-2020,29,"['dense_QE', 'sparse_DE_QE', 'hybrid_QE', 'hybrid_QE_DE', 'sparse_QE', 'dense_QE_DE']",6,"[3, 3, 3, 1, 3, 1]"
n,rigid insulation for cavity walls,Approved Document B - 2010.pdf,,64,"['dense', 'hybrid', 'sparse']",3,"[3, 3, 3]"
n,"rigid insulation, fire performance requirements",BS 5534-2014+A2-2018--[2021-08-31--02-22-13 PM].pdf,BS 5534-2014+A2-2018--,99,['sparse_DE'],1,[2]
n,"rigid insulation, fire performance requirements",BS EN 13163-2012+A2-2016--[Factory made EPS insulation-Specification].pdf,BS EN 13163-2012+A2-2016--,11,"['dense', 'dense_DE', 'dense_QE', 'hybrid', 'hybrid_DE', 'hybrid_QE', 'sparse_QE', 'sparse_DE', 'sparse']",9,"[1, 1, 2, 1, 1, 2, 2, 3, 1]"
n,"rigid insulation, fire performance requirements",BS 8217-2005.pdf,BS 8217-2005,15,"['dense_QE', 'hybrid_QE', 'hybrid_QE_DE', 'sparse_QE', 'dense_QE_DE']",5,"[3, 3, 1, 3, 1]"
n,"rigid insulation, fire performance requirements",BS 6203-2003.pdf,BS 6203-2003,42,"['dense_QE', 'sparse_DE_QE', 'hybrid_QE', 'hybrid_QE_DE', 'sparse_QE', 'dense_QE_DE']",6,"[1, 1, 1, 3, 1, 3]"
n,"rigid insulation, fire performance requirements",BS ISO 15686-2-2012--[2020-08-07--12-11-15 PM].pdf,BS ISO 15686-2-2012--,15,"['dense', 'hybrid', 'sparse']",3,"[2, 2, 2]"
n,"rigid insulation, fire performance requirements",BS 5516-2-2004.pdf,BS 5516-2-2004,44,"['dense', 'hybrid']",2,"[3, 3]"
n,"rigid insulation, fire performance requirements",BS 5250 (2011) + A1 2016.pdf,BS 5250,63,"['dense_DE', 'hybrid_DE', 'sparse_DE', 'sparse']",4,"[2, 2, 1, 3]"
n,"rigid insulation, fire performance requirements",BS EN 1634-1 (2014) + A1 2018.pdf,BS EN 1634-1,74,"['dense_DE', 'hybrid_DE']",2,"[3, 3]"
n,"rigid insulation, fire performance requirements",BS 6203-2003.pdf,BS 6203-2003,15,"['hybrid_QE_DE', 'dense_QE_DE']",2,"[2, 2]"
y,"rigid insulation, fire performance requirements",BS 6203-2003.pdf,BS 6203-2003,15,['sparse_DE_QE'],1,[3]
n,"rigid insulation, fire performance requirements",BS 6203-2003.pdf,BS 6203-2003,24,['sparse_DE_QE'],1,[2]
y,"roof covering, fire performance",BS EN 13501-5 (2016)-Tracked Changes (TC).pdf,BS EN 13501-5,25,"['dense', 'dense_DE', 'hybrid', 'hybrid_DE', 'hybrid_QE_DE', 'dense_QE_DE', 'sparse']",7,"[1, 1, 1, 1, 2, 2, 1]"
y,"roof covering, fire performance",BS EN 13501-5 (2016)-Tracked Changes (TC).pdf,BS EN 13501-5,15,"['dense_DE', 'sparse_DE_QE', 'hybrid_DE', 'sparse_DE']",4,"[2, 1, 2, 1]"
y,"roof covering, fire performance",BS EN 13501-5 (2016)-Tracked Changes (TC).pdf,BS EN 13501-5,54,"['dense_DE', 'hybrid_DE']",2,"[3, 3]"
n,"roof covering, fire performance",Approved Document B - 2010.pdf,,63,"['dense_QE', 'hybrid_QE']",2,"[3, 3]"
y,"roof covering, fire performance",BS EN 13501-5 (2016)-Tracked Changes (TC).pdf,BS EN 13501-5,53,"['sparse_DE_QE', 'sparse_DE']",2,"[3, 3]"
y,"roof covering, fire performance",BS EN 13501-5 (2016)-Tracked Changes (TC).pdf,BS EN 13501-5,53,"['sparse_DE_QE', 'sparse_DE']",2,"[2, 2]"
y,"roof covering, fire performance",BS 9999 (2017).pdf,BS 9999,221,"['dense', 'dense_QE', 'hybrid', 'hybrid_QE', 'sparse_QE']",5,"[3, 1, 3, 1, 2]"
y,"roof covering, fire performance",BS 9991 (2015).pdf,BS 9991,93,"['hybrid_QE_DE', 'sparse_QE', 'dense_QE_DE', 'sparse']",4,"[1, 1, 1, 2]"
n,"roof covering, fire performance",Approved Document B - 2010.pdf,,63,"['dense', 'dense_QE', 'hybrid', 'hybrid_QE', 'hybrid_QE_DE', 'sparse_QE', 'dense_QE_DE', 'sparse']",8,"[2, 2, 2, 2, 3, 3, 3, 3]"
n,safety standards for solar panels,BS 6100-7-2008-Building and civil engineering-Vocabulary-Services.pdf,BS 6100-7-2008-,15,"['dense', 'hybrid']",2,"[2, 2]"
n,safety standards for solar panels,BS 5516-2-2004.pdf,BS 5516-2-2004,57,"['dense', 'dense_QE', 'sparse_DE_QE', 'hybrid', 'hybrid_QE', 'sparse_QE', 'sparse']",7,"[1, 1, 3, 1, 1, 2, 1]"
y,safety standards for solar panels,BS 5534-2014+A2-2018--[2021-08-31--02-22-13 PM].pdf,BS 5534-2014+A2-2018--,172,"['dense_DE', 'sparse_DE_QE', 'hybrid_DE', 'sparse_DE']",4,"[3, 1, 3, 3]"
n,safety standards for solar panels,BS 5516-2-2004.pdf,BS 5516-2-2004,49,"['hybrid_QE_DE', 'dense_QE_DE']",2,"[2, 2]"
y,safety standards for solar panels,BS 8000-6-2013.pdf,BS 8000-6-2013,47,"['sparse_DE_QE', 'hybrid_QE_DE', 'sparse_QE', 'dense_QE_DE']",4,"[2, 3, 1, 3]"
y,safety standards for solar panels,BS 5534-2014+A2-2018--[2021-08-31--02-22-13 PM].pdf,BS 5534-2014+A2-2018--,34,"['dense_DE', 'hybrid_DE', 'sparse_DE', 'sparse']",4,"[2, 2, 2, 3]"
n,safety standards for solar panels,BS 5516-2-2004.pdf,BS 5516-2-2004,49,"['dense_QE', 'hybrid_QE', 'hybrid_QE_DE', 'dense_QE_DE']",4,"[3, 3, 1, 1]"
n,safety standards for solar panels,BS 5427-2016.pdf,BS 5427-2016,42,"['dense_DE', 'hybrid_DE', 'sparse_DE', 'sparse']",4,"[1, 1, 1, 2]"
n,safety standards for solar panels,BS 6262-1982.pdf,BS 6262-1982,29,"['dense_QE', 'hybrid_QE', 'sparse_QE']",3,"[2, 2, 3]"
n,safety standards for solar panels,BS EN ISO 15927-1-2003--[2019-09-16--10-2.pdf,BS EN ISO 15927-1-2003--,7,"['dense', 'hybrid']",2,"[3, 3]"
n,sealant requirements of fire doors,BS 6262-3-2005_NR.pdf,BS 6262-3-2005,5,['sparse_DE'],1,[2]
n,sealant requirements of fire doors,BS 8214 (2016).pdf,BS 8214,13,"['hybrid_QE_DE', 'dense_QE_DE']",2,"[1, 1]"
n,sealant requirements of fire doors,BS 6262-1982.pdf,BS 6262-1982,74,"['dense_QE', 'hybrid_QE', 'sparse_QE']",3,"[3, 3, 3]"
n,sealant requirements of fire doors,BS 8213-4-2016_NR.pdf,BS 8213-4-2016,11,"['dense_QE', 'sparse_DE_QE', 'hybrid_QE', 'hybrid_QE_DE', 'sparse_QE', 'dense_QE_DE']",6,"[2, 1, 2, 2, 2, 2]"
n,sealant requirements of fire doors,BS EN 81-72 (2020).pdf,BS EN 81-72,12,"['dense', 'dense_DE', 'hybrid', 'hybrid_DE', 'sparse']",5,"[2, 2, 2, 2, 2]"
n,sealant requirements of fire doors,BS 7273-4 (2015) + A1 2021.pdf,BS 7273-4,24,['sparse'],1,[3]
y,sealant requirements of fire doors,BS 6262-1982.pdf,BS 6262-1982,28,"['dense', 'dense_DE', 'dense_QE', 'sparse_DE_QE', 'hybrid', 'hybrid_DE', 'hybrid_QE', 'hybrid_QE_DE', 'sparse_QE', 'sparse_DE', 'dense_QE_DE', 'sparse']",12,"[1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 3, 1]"
